name_rom,name_kor,agency,birth,blood_type,height,weight,trainee_period,hobbies,speciality,url_video,rank1_num,rank2_num,rank3_num
Hong Yeji,홍예지,CNC,2002,A,162cm,45kg,11 months,"knitting, writing in journal, listening to ASMR",wacking,https://www.youtube.com/watch?v=vkI1kz7Y7U0,76,76,80.0
Han Chowon,한초원,CUBE,2002,O,168cm,50kg,1 year 10 months,"playing piano, eating","wacking, composing",https://www.youtube.com/watch?v=60DFyQUPAv4,64,79,88.0
Ahn Yewon,안예원,YGKplus,2001,O,172cm,52kg,4 months,walking with earphones in but not playing music,model walking,https://www.youtube.com/watch?v=zUj8iockAL8,82,88,84.0
Choi Yeonsoo,최연수,YGKplus,1999,O,170cm,49kg,4 months,fangirling,flexibility,https://www.youtube.com/watch?v=7qdTkfbjBpI,47,52,57.0
Park Seoyoung,박서영,No Agency - Independent Trainee,1999,B,162cm,43kg,8 years,"painting, altering clothes","rap, dancing",https://www.youtube.com/watch?v=mBFon1gK3fk,34,26,35.0
Park Jinny,박진희,No Agency - Independent Trainee,1998,B,164cm,46kg,5 years,"writing lyrics, makeup",rap making,https://www.youtube.com/watch?v=XNrYkymG8lE,52,49,61.0
Ahn Yujin,안유진,Starship,2003,A,168cm,48kg,1 year 4 months,"shopping, shopping around Gangnam station area","girl hip-hop, playing piano",https://www.youtube.com/watch?v=ZbebMxIk1Xc,2,2,2.0
Chang Yuanying,장원영,Starship,2004,O,168cm,47kg,1 year 2 months,spending time with her eonnies,girl hip-hop,https://www.youtube.com/watch?v=-YJC85P52x8,3,4,4.0
Cho Kahyeon,조가현,Starship,2003,B,161.8cm,49.5kg,1 year 8 months,walking,"urban dance, girl hip-Hop",https://www.youtube.com/watch?v=nyW9KXm4Zdc,65,36,38.0
Goto Moe,고토 모에,AKB48,2001,O,168cm,43kg,4 years 7 months,"dancing, enjoying anime music","singing, playing the drums",https://www.youtube.com/watch?v=Ju6yoqnNh9o,16,8,6.0
